repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
Breeze0806__go-etl,cyclonedx-gomod,54,54,54,54,103,103,54,54,1,1,0,0,54,54,1,1,0,0,55,55,0,0,48,48,yes
BrianLeishman__go-imap,syft,26,26,26,26,37,37,26,26,4,4,0,0,26,26,4,4,0,0,30,30,0,0,7,7,yes
BrianLeishman__go-imap,trivy,26,26,26,26,37,37,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,11,11,yes
BrianLeishman__go-imap,cdxgen,26,26,26,26,37,37,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,11,11,yes
BrianLeishman__go-imap,cyclonedx-gomod,26,26,26,26,37,37,26,26,0,0,0,0,26,26,0,0,0,0,26,26,0,0,11,11,yes
C2FO__vfs,syft,87,87,94,94,268,268,87,87,53,53,0,0,94,94,46,46,0,0,131,131,9,9,137,137,yes
C2FO__vfs,trivy,87,87,94,94,268,268,87,87,16,16,0,0,94,94,9,9,0,0,97,97,6,6,171,171,yes
C2FO__vfs,cdxgen,87,87,94,94,268,268,87,87,6,6,0,0,89,89,4,4,5,5,90,90,3,3,178,178,yes
C2FO__vfs,cyclonedx-gomod,87,87,94,94,268,268,86,86,1,1,1,1,86,86,1,1,8,8,87,87,0,0,181,181,yes
CalebQ42__bbConvert,syft,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
CalebQ42__bbConvert,trivy,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
CalebQ42__bbConvert,cdxgen,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
CalebQ42__bbConvert,cyclonedx-gomod,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
ChainSafe__gossamer,syft,193,193,196,196,565,565,190,190,69,69,3,3,193,193,66,66,3,3,241,241,18,18,324,324,yes
ChainSafe__gossamer,trivy,193,193,196,196,565,565,190,190,38,38,3,3,193,193,35,35,3,3,212,212,16,16,353,353,yes
ChainSafe__gossamer,cdxgen,193,193,196,196,565,565,193,193,12,12,0,0,193,193,12,12,3,3,198,198,7,7,367,367,yes
ChainSafe__gossamer,cyclonedx-gomod,193,193,196,196,565,565,181,181,11,11,12,12,181,181,11,11,15,15,189,189,3,3,376,376,yes
ClickHouse__clickhouse-go,syft,55,55,56,56,105,105,55,55,22,22,0,0,56,56,21,21,0,0,77,77,0,0,28,28,yes
ClickHouse__clickhouse-go,trivy,55,55,56,56,105,105,55,55,8,8,0,0,56,56,7,7,0,0,63,63,0,0,42,42,yes
ClickHouse__clickhouse-go,cdxgen,55,55,56,56,105,105,55,55,0,0,0,0,55,55,0,0,1,1,55,55,0,0,50,50,yes
ClickHouse__clickhouse-go,cyclonedx-gomod,55,55,56,56,105,105,55,55,7,7,0,0,55,55,7,7,1,1,62,62,0,0,43,43,yes
Clivern__Beaver,syft,41,41,41,41,172,172,41,41,26,26,0,0,41,41,26,26,0,0,67,67,0,0,105,105,yes
Clivern__Beaver,trivy,41,41,41,41,172,172,41,41,14,14,0,0,41,41,14,14,0,0,55,55,0,0,117,117,yes
Clivern__Beaver,cdxgen,41,41,41,41,172,172,41,41,0,0,0,0,41,41,0,0,0,0,41,41,0,0,131,131,yes
Clivern__Beaver,cyclonedx-gomod,41,41,41,41,172,172,41,41,10,10,0,0,41,41,10,10,0,0,51,51,0,0,121,121,yes
CloudyKit__jet,syft,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
CloudyKit__jet,trivy,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
CloudyKit__jet,cdxgen,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
CloudyKit__jet,cyclonedx-gomod,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
Code-Hex__Neo-cowsay,syft,3,3,4,4,5,5,3,3,18,18,0,0,4,4,17,17,0,0,5,5,16,16,0,0,yes
Code-Hex__Neo-cowsay,trivy,3,3,4,4,5,5,3,3,24,24,0,0,4,4,23,23,0,0,5,5,22,22,0,0,yes
Code-Hex__Neo-cowsay,cdxgen,3,3,4,4,5,5,3,3,13,13,0,0,3,3,13,13,1,1,3,3,13,13,2,2,yes
Code-Hex__Neo-cowsay,cyclonedx-gomod,3,3,4,4,5,5,3,3,0,0,0,0,3,3,0,0,1,1,3,3,0,0,2,2,yes
Colin4k1024__Aetheris,syft,124,124,124,124,267,267,124,124,44,44,0,0,124,124,44,44,0,0,153,153,15,15,114,114,yes
Colin4k1024__Aetheris,trivy,124,124,124,124,267,267,124,124,21,21,0,0,124,124,21,21,0,0,132,132,13,13,135,135,yes
Colin4k1024__Aetheris,cdxgen,124,124,124,124,267,267,124,124,12,12,0,0,124,124,12,12,0,0,125,125,11,11,142,142,yes
Colin4k1024__Aetheris,cyclonedx-gomod,124,124,124,124,267,267,121,121,5,5,3,3,121,121,5,5,3,3,126,126,0,0,141,141,yes
CovenantSQL__CovenantSQL,syft,87,87,92,92,238,238,86,86,41,41,1,1,91,91,36,36,1,1,126,126,1,1,112,112,yes
CovenantSQL__CovenantSQL,trivy,87,87,92,92,238,238,86,86,152,152,1,1,91,91,147,147,1,1,237,237,1,1,1,1,yes
CovenantSQL__CovenantSQL,cdxgen,87,87,92,92,238,238,87,87,0,0,0,0,87,87,0,0,5,5,87,87,0,0,151,151,yes
CovenantSQL__CovenantSQL,cyclonedx-gomod,87,87,92,92,238,238,86,86,8,8,1,1,86,86,8,8,6,6,93,93,1,1,145,145,yes
Crocmagnon__fatcontext,syft,3,3,3,3,8,8,3,3,1,1,0,0,3,3,1,1,0,0,4,4,0,0,4,4,yes
Crocmagnon__fatcontext,trivy,3,3,3,3,8,8,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,5,5,yes
Crocmagnon__fatcontext,cdxgen,3,3,3,3,8,8,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,5,5,yes
Crocmagnon__fatcontext,cyclonedx-gomod,3,3,3,3,8,8,2,2,0,0,1,1,2,2,0,0,1,1,2,2,0,0,6,6,yes
DATA-DOG__go-sqlmock,syft,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
DATA-DOG__go-sqlmock,trivy,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
DATA-DOG__go-sqlmock,cdxgen,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
DATA-DOG__go-sqlmock,cyclonedx-gomod,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
DMcP89__tinycare-tui,syft,29,29,31,31,64,64,29,29,22,22,0,0,31,31,20,20,0,0,51,51,0,0,13,13,yes
DMcP89__tinycare-tui,trivy,29,29,31,31,64,64,29,29,7,7,0,0,31,31,5,5,0,0,36,36,0,0,28,28,yes
DMcP89__tinycare-tui,cdxgen,29,29,31,31,64,64,29,29,0,0,0,0,29,29,0,0,2,2,29,29,0,0,35,35,yes
DMcP89__tinycare-tui,cyclonedx-gomod,29,29,31,31,64,64,29,29,4,4,0,0,29,29,4,4,2,2,33,33,0,0,31,31,yes
DarthPestilane__easytcp,syft,11,11,15,15,30,30,11,11,9,9,0,0,15,15,5,5,0,0,20,20,0,0,10,10,yes
DarthPestilane__easytcp,trivy,11,11,15,15,30,30,11,11,7,7,0,0,15,15,3,3,0,0,18,18,0,0,12,12,yes
DarthPestilane__easytcp,cdxgen,11,11,15,15,30,30,11,11,0,0,0,0,11,11,0,0,4,4,11,11,0,0,19,19,yes
DarthPestilane__easytcp,cyclonedx-gomod,11,11,15,15,30,30,11,11,3,3,0,0,11,11,3,3,4,4,14,14,0,0,16,16,yes
DeRuina__timberjack,syft,1,1,2,2,2,2,1,1,1,1,0,0,2,2,0,0,0,0,2,2,0,0,0,0,yes
DeRuina__timberjack,trivy,1,1,2,2,2,2,1,1,1,1,0,0,2,2,0,0,0,0,2,2,0,0,0,0,yes
DeRuina__timberjack,cdxgen,1,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,yes
DeRuina__timberjack,cyclonedx-gomod,1,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,yes
DrmagicE__gmqtt,syft,47,47,47,47,312,312,47,47,72,72,0,0,47,47,72,72,0,0,119,119,0,0,193,193,yes
DrmagicE__gmqtt,trivy,47,47,47,47,312,312,47,47,58,58,0,0,47,47,58,58,0,0,105,105,0,0,207,207,yes
DrmagicE__gmqtt,cdxgen,47,47,47,47,312,312,47,47,0,0,0,0,47,47,0,0,0,0,47,47,0,0,265,265,yes
DrmagicE__gmqtt,cyclonedx-gomod,47,47,47,47,312,312,47,47,57,57,0,0,47,47,57,57,0,0,104,104,0,0,208,208,yes
DylanMeeus__hasgo,syft,2,2,2,2,8,8,2,2,1,1,0,0,2,2,1,1,0,0,2,2,1,1,6,6,yes
DylanMeeus__hasgo,trivy,2,2,2,2,8,8,2,2,7,7,0,0,2,2,7,7,0,0,8,8,1,1,0,0,yes
DylanMeeus__hasgo,cdxgen,2,2,2,2,8,8,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,6,6,yes
DylanMeeus__hasgo,cyclonedx-gomod,2,2,2,2,8,8,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,6,6,yes
Dynom__TySug,syft,8,8,9,9,16,16,8,8,5,5,0,0,9,9,4,4,0,0,13,13,0,0,3,3,yes
