repo,all,imported,direct,tool,found,P_all,R_all,F1_all,P_imp,R_imp,F1_imp,P_dir,R_dir,F1_dir
o1egl__paseto,12,4,4,cdxgen,4,100.0,33.3,50.0,100.0,100.0,100.0,75.0,75.0,75.0
o1egl__paseto,12,4,4,cyclonedx-gomod,4,100.0,33.3,50.0,100.0,100.0,100.0,75.0,75.0,75.0
oblq__swap,12,2,3,syft,9,100.0,75.0,85.7,22.2,100.0,36.4,33.3,100.0,50.0
oblq__swap,12,2,3,trivy,12,100.0,100.0,100.0,16.7,100.0,28.6,25.0,100.0,40.0
oblq__swap,12,2,3,cdxgen,2,100.0,16.7,28.6,100.0,100.0,100.0,100.0,66.7,80.0
oblq__swap,12,2,3,cyclonedx-gomod,2,100.0,16.7,28.6,100.0,100.0,100.0,100.0,66.7,80.0
octago__sflags,24,13,9,syft,18,100.0,75.0,85.7,72.2,100.0,83.9,50.0,100.0,66.7
octago__sflags,24,13,9,trivy,17,100.0,70.8,82.9,76.5,100.0,86.7,52.9,100.0,69.2
octago__sflags,24,13,9,cdxgen,13,100.0,54.2,70.3,100.0,100.0,100.0,61.5,88.9,72.7
octago__sflags,24,13,9,cyclonedx-gomod,14,100.0,58.3,73.7,92.9,100.0,96.3,57.1,88.9,69.6
oklahomer__go-sarah,19,11,6,syft,17,88.2,78.9,83.3,64.7,100.0,78.6,35.3,100.0,52.2
oklahomer__go-sarah,19,11,6,trivy,21,90.5,100.0,95.0,52.4,100.0,68.8,28.6,100.0,44.4
oklahomer__go-sarah,19,11,6,cdxgen,11,100.0,57.9,73.3,100.0,100.0,100.0,54.5,100.0,70.6
oklahomer__go-sarah,19,11,6,cyclonedx-gomod,11,100.0,57.9,73.3,100.0,100.0,100.0,54.5,100.0,70.6
oluwajubelo1__otellix,303,64,18,syft,94,100.0,31.0,47.4,68.1,100.0,81.0,19.1,100.0,32.1
oluwajubelo1__otellix,303,64,18,trivy,78,100.0,25.7,40.9,82.1,100.0,90.1,23.1,100.0,37.5
oluwajubelo1__otellix,303,64,18,cdxgen,64,100.0,21.1,34.9,100.0,100.0,100.0,26.6,94.4,41.5
oluwajubelo1__otellix,303,64,18,cyclonedx-gomod,75,100.0,24.8,39.7,85.3,100.0,92.1,22.7,94.4,36.6
omeid__uconfig,6,2,3,syft,3,100.0,50.0,66.7,66.7,100.0,80.0,100.0,100.0,100.0
omeid__uconfig,6,2,3,trivy,6,100.0,100.0,100.0,33.3,100.0,50.0,50.0,100.0,66.7
omeid__uconfig,6,2,3,cdxgen,2,100.0,33.3,50.0,100.0,100.0,100.0,100.0,66.7,80.0
omeid__uconfig,6,2,3,cyclonedx-gomod,2,100.0,33.3,50.0,100.0,100.0,100.0,100.0,66.7,80.0
onrik__micha,8,,2,syft,7,100.0,87.5,93.3,,,,28.6,100.0,44.4
onrik__micha,8,,2,trivy,5,100.0,62.5,76.9,,,,40.0,100.0,57.1
onrik__micha,8,,2,cdxgen,5,100.0,62.5,76.9,,,,40.0,100.0,57.1
onrik__micha,8,,2,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
openfga__openfga,294,134,53,syft,182,100.0,61.9,76.5,73.6,100.0,84.8,29.1,100.0,45.1
openfga__openfga,294,134,53,trivy,144,100.0,49.0,65.8,93.1,100.0,96.4,36.8,100.0,53.8
openfga__openfga,294,134,53,cdxgen,134,100.0,45.6,62.6,100.0,100.0,100.0,38.1,96.2,54.5
openfga__openfga,294,134,53,cyclonedx-gomod,138,100.0,46.9,63.9,97.1,100.0,98.5,37.0,96.2,53.4
openshift__osin,13,7,6,syft,11,100.0,84.6,91.7,63.6,100.0,77.8,54.5,100.0,70.6
openshift__osin,13,7,6,trivy,13,100.0,100.0,100.0,53.8,100.0,70.0,46.2,100.0,63.2
openshift__osin,13,7,6,cdxgen,10,100.0,76.9,87.0,70.0,100.0,82.4,60.0,100.0,75.0
openshift__osin,13,7,6,cyclonedx-gomod,10,100.0,76.9,87.0,70.0,100.0,82.4,60.0,100.0,75.0
opnlabs__dot,54,29,10,syft,44,100.0,81.5,89.8,65.9,100.0,79.5,22.7,100.0,37.0
opnlabs__dot,54,29,10,trivy,40,100.0,74.1,85.1,72.5,100.0,84.1,25.0,100.0,40.0
opnlabs__dot,54,29,10,cdxgen,29,100.0,53.7,69.9,100.0,100.0,100.0,31.0,90.0,46.2
opnlabs__dot,54,29,10,cyclonedx-gomod,33,100.0,61.1,75.9,87.9,100.0,93.5,27.3,90.0,41.9
ory__keto,486,165,41,syft,359,95.8,70.8,81.4,46.0,100.0,63.0,11.4,100.0,20.5
ory__keto,486,165,41,trivy,319,96.9,63.6,76.8,51.7,100.0,68.2,12.9,100.0,22.8
ory__keto,486,165,41,cdxgen,197,95.9,38.9,55.3,83.8,100.0,91.2,19.8,95.1,32.8
ory__keto,486,165,41,cyclonedx-gomod,276,100.0,56.8,72.4,58.7,98.2,73.5,13.4,90.2,23.3
ovh__cds,765,313,120,syft,441,92.1,53.1,67.3,70.1,98.7,82.0,26.3,96.7,41.4
ovh__cds,765,313,120,trivy,366,91.3,43.7,59.1,84.4,98.7,91.0,31.7,96.7,47.7
ovh__cds,765,313,120,cdxgen,332,95.8,41.6,58.0,94.3,100.0,97.1,35.2,97.5,51.8
ovh__cds,765,313,120,cyclonedx-gomod,321,98.4,41.3,58.2,96.0,98.4,97.2,34.9,93.3,50.8
pancsta__asyncmachine-go,552,232,69,syft,360,94.4,61.6,74.6,64.4,100.0,78.4,19.2,100.0,32.2
pancsta__asyncmachine-go,552,232,69,trivy,321,94.4,54.9,69.4,72.3,100.0,83.9,21.5,100.0,35.4
pancsta__asyncmachine-go,552,232,69,cdxgen,255,94.5,43.7,59.7,91.0,100.0,95.3,23.9,88.4,37.7
pancsta__asyncmachine-go,552,232,69,cyclonedx-gomod,251,100.0,45.5,62.5,92.4,100.0,96.1,25.1,91.3,39.4
pardnchiu__go-jwt,52,20,3,syft,42,100.0,80.8,89.4,47.6,100.0,64.5,7.1,100.0,13.3
pardnchiu__go-jwt,52,20,3,trivy,37,100.0,71.2,83.1,54.1,100.0,70.2,8.1,100.0,15.0
pardnchiu__go-jwt,52,20,3,cdxgen,20,100.0,38.5,55.6,100.0,100.0,100.0,15.0,100.0,26.1
pardnchiu__go-jwt,52,20,3,cyclonedx-gomod,31,100.0,59.6,74.7,64.5,100.0,78.4,9.7,100.0,17.6
pascaldekloe__jwt,0,,,syft,0,0.0,0.0,0.0,,,,,,
pascaldekloe__jwt,0,,,trivy,0,0.0,0.0,0.0,,,,,,
pascaldekloe__jwt,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
pascaldekloe__jwt,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
peterh__liner,2,1,2,syft,2,100.0,100.0,100.0,50.0,100.0,66.7,100.0,100.0,100.0
peterh__liner,2,1,2,trivy,2,100.0,100.0,100.0,50.0,100.0,66.7,100.0,100.0,100.0
peterh__liner,2,1,2,cdxgen,1,100.0,50.0,66.7,100.0,100.0,100.0,100.0,50.0,66.7
peterh__liner,2,1,2,cyclonedx-gomod,2,100.0,100.0,100.0,50.0,100.0,66.7,100.0,100.0,100.0
philippgille__chromem-go,0,,,syft,69,0.0,0.0,0.0,,,,,,
philippgille__chromem-go,0,,,trivy,40,0.0,0.0,0.0,,,,,,
philippgille__chromem-go,0,,,cdxgen,36,0.0,0.0,0.0,,,,,,
philippgille__chromem-go,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
phoenix-tui__phoenix,14,9,5,syft,44,31.8,100.0,48.3,20.5,100.0,34.0,11.4,100.0,20.4
phoenix-tui__phoenix,14,9,5,trivy,42,33.3,100.0,50.0,21.4,100.0,35.3,11.9,100.0,21.3
phoenix-tui__phoenix,14,9,5,cdxgen,14,64.3,64.3,64.3,64.3,100.0,78.3,35.7,100.0,52.6
phoenix-tui__phoenix,14,9,5,cyclonedx-gomod,9,100.0,64.3,78.3,100.0,100.0,100.0,55.6,100.0,71.4
pikoci__pikoci,290,92,28,syft,201,98.5,68.3,80.7,45.8,100.0,62.8,13.9,100.0,24.5
pikoci__pikoci,290,92,28,trivy,141,99.3,48.3,65.0,65.2,100.0,79.0,19.9,100.0,33.1
pikoci__pikoci,290,92,28,cdxgen,120,100.0,41.4,58.5,76.7,100.0,86.8,21.7,92.9,35.1
pikoci__pikoci,290,92,28,cyclonedx-gomod,106,100.0,36.6,53.5,86.8,100.0,92.9,24.5,92.9,38.8
posener__cmd,12,5,3,syft,10,100.0,83.3,90.9,50.0,100.0,66.7,30.0,100.0,46.2
posener__cmd,12,5,3,trivy,12,100.0,100.0,100.0,41.7,100.0,58.8,25.0,100.0,40.0
posener__cmd,12,5,3,cdxgen,5,100.0,41.7,58.8,100.0,100.0,100.0,40.0,66.7,50.0
posener__cmd,12,5,3,cyclonedx-gomod,5,100.0,41.7,58.8,100.0,100.0,100.0,40.0,66.7,50.0
posener__complete,8,2,2,syft,7,100.0,87.5,93.3,28.6,100.0,44.4,28.6,100.0,44.4
posener__complete,8,2,2,trivy,8,100.0,100.0,100.0,25.0,100.0,40.0,25.0,100.0,40.0
posener__complete,8,2,2,cdxgen,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,50.0,50.0
posener__complete,8,2,2,cyclonedx-gomod,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,50.0,50.0
presbrey__ollamafarm,64,1,1,syft,6,100.0,9.4,17.1,16.7,100.0,28.6,16.7,100.0,28.6
presbrey__ollamafarm,64,1,1,trivy,64,100.0,100.0,100.0,1.6,100.0,3.1,1.6,100.0,3.1
presbrey__ollamafarm,64,1,1,cdxgen,1,100.0,1.6,3.1,100.0,100.0,100.0,100.0,100.0,100.0
presbrey__ollamafarm,64,1,1,cyclonedx-gomod,1,100.0,1.6,3.1,100.0,100.0,100.0,100.0,100.0,100.0
pterm__pterm,36,12,9,syft,22,100.0,61.1,75.9,54.5,100.0,70.6,40.9,100.0,58.1
pterm__pterm,36,12,9,trivy,18,100.0,50.0,66.7,66.7,100.0,80.0,50.0,100.0,66.7
pterm__pterm,36,12,9,cdxgen,12,100.0,33.3,50.0,100.0,100.0,100.0,66.7,88.9,76.2
pterm__pterm,36,12,9,cyclonedx-gomod,12,100.0,33.3,50.0,100.0,100.0,100.0,66.7,88.9,76.2
rainu__go-command-chain,22,1,3,syft,12,100.0,54.5,70.6,8.3,100.0,15.4,25.0,100.0,40.0
rainu__go-command-chain,22,1,3,trivy,6,100.0,27.3,42.9,16.7,100.0,28.6,50.0,100.0,66.7
rainu__go-command-chain,22,1,3,cdxgen,1,100.0,4.5,8.7,100.0,100.0,100.0,100.0,33.3,50.0
rainu__go-command-chain,22,1,3,cyclonedx-gomod,1,100.0,4.5,8.7,100.0,100.0,100.0,100.0,33.3,50.0
raviqqe__muffet,35,17,14,syft,27,100.0,77.1,87.1,63.0,100.0,77.3,51.9,100.0,68.3
raviqqe__muffet,35,17,14,trivy,25,100.0,71.4,83.3,68.0,100.0,81.0,56.0,100.0,71.8
raviqqe__muffet,35,17,14,cdxgen,17,100.0,48.6,65.4,100.0,100.0,100.0,70.6,85.7,77.4
raviqqe__muffet,35,17,14,cyclonedx-gomod,17,100.0,48.6,65.4,100.0,100.0,100.0,70.6,85.7,77.4
reeflective__console,33,11,7,syft,20,100.0,60.6,75.5,55.0,100.0,71.0,35.0,100.0,51.9
reeflective__console,33,11,7,trivy,13,100.0,39.4,56.5,84.6,100.0,91.7,53.8,100.0,70.0
reeflective__console,33,11,7,cdxgen,11,100.0,33.3,50.0,100.0,100.0,100.0,63.6,100.0,77.8
reeflective__console,33,11,7,cyclonedx-gomod,12,100.0,36.4,53.3,91.7,100.0,95.7,58.3,100.0,73.7
reeflective__readline,12,2,4,syft,8,100.0,66.7,80.0,25.0,100.0,40.0,50.0,100.0,66.7
reeflective__readline,12,2,4,trivy,8,100.0,66.7,80.0,25.0,100.0,40.0,50.0,100.0,66.7
reeflective__readline,12,2,4,cdxgen,2,100.0,16.7,28.6,100.0,100.0,100.0,100.0,50.0,66.7
reeflective__readline,12,2,4,cyclonedx-gomod,2,100.0,16.7,28.6,100.0,100.0,100.0,100.0,50.0,66.7
rekurt__ymsdk,8,2,1,syft,7,100.0,87.5,93.3,28.6,100.0,44.4,14.3,100.0,25.0
rekurt__ymsdk,8,2,1,trivy,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,100.0,66.7
rekurt__ymsdk,8,2,1,cdxgen,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,100.0,66.7
rekurt__ymsdk,8,2,1,cyclonedx-gomod,2,100.0,25.0,40.0,100.0,100.0,100.0,50.0,100.0,66.7
rexrun-dev__rex,0,,,syft,0,0.0,0.0,0.0,,,,,,
rexrun-dev__rex,0,,,trivy,0,0.0,0.0,0.0,,,,,,
rexrun-dev__rex,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
rexrun-dev__rex,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
romshark__yamagiconf,27,9,3,syft,18,100.0,66.7,80.0,50.0,100.0,66.7,16.7,100.0,28.6
romshark__yamagiconf,27,9,3,trivy,16,100.0,59.3,74.4,56.3,100.0,72.0,18.8,100.0,31.6
romshark__yamagiconf,27,9,3,cdxgen,9,100.0,33.3,50.0,100.0,100.0,100.0,22.2,66.7,33.3
romshark__yamagiconf,27,9,3,cyclonedx-gomod,9,100.0,33.3,50.0,100.0,100.0,100.0,22.2,66.7,33.3
rsteube__carapace-bin,23,13,13,syft,18,88.9,69.6,78.0,61.1,84.6,71.0,61.1,84.6,71.0
rsteube__carapace-bin,23,13,13,trivy,14,85.7,52.2,64.9,78.6,84.6,81.5,78.6,84.6,81.5
rsteube__carapace-bin,23,13,13,cdxgen,13,100.0,56.5,72.2,100.0,100.0,100.0,100.0,100.0,100.0
rsteube__carapace-bin,23,13,13,cyclonedx-gomod,14,85.7,52.2,64.9,78.6,84.6,81.5,78.6,84.6,81.5
s0ders__go-semver-release,70,36,8,syft,56,100.0,80.0,88.9,64.3,100.0,78.3,14.3,100.0,25.0
s0ders__go-semver-release,70,36,8,trivy,42,100.0,60.0,75.0,85.7,100.0,92.3,19.0,100.0,32.0
s0ders__go-semver-release,70,36,8,cdxgen,36,100.0,51.4,67.9,100.0,100.0,100.0,19.4,87.5,31.8
s0ders__go-semver-release,70,36,8,cyclonedx-gomod,38,100.0,54.3,70.4,94.7,100.0,97.3,18.4,87.5,30.4
saivedant169__AegisFlow,164,68,20,syft,100,93.0,56.7,70.5,68.0,100.0,81.0,20.0,100.0,33.3
saivedant169__AegisFlow,164,68,20,trivy,78,91.0,43.3,58.7,87.2,100.0,93.2,25.6,100.0,40.8
saivedant169__AegisFlow,164,68,20,cdxgen,69,98.6,41.5,58.4,98.6,100.0,99.3,27.5,95.0,42.7
saivedant169__AegisFlow,164,68,20,cyclonedx-gomod,67,100.0,40.9,58.0,100.0,98.5,99.3,28.4,95.0,43.7
sakirsensoy__genv,0,,,syft,0,0.0,0.0,0.0,,,,,,
sakirsensoy__genv,0,,,trivy,0,0.0,0.0,0.0,,,,,,
sakirsensoy__genv,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
sakirsensoy__genv,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
schollz__progressbar,14,5,6,syft,13,100.0,92.9,96.3,38.5,100.0,55.6,46.2,100.0,63.2
schollz__progressbar,14,5,6,trivy,12,100.0,85.7,92.3,41.7,100.0,58.8,50.0,100.0,66.7
schollz__progressbar,14,5,6,cdxgen,5,100.0,35.7,52.6,100.0,100.0,100.0,80.0,66.7,72.7
schollz__progressbar,14,5,6,cyclonedx-gomod,6,100.0,42.9,60.0,83.3,100.0,90.9,66.7,66.7,66.7
sgreben__flagvar,1,1,1,syft,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sgreben__flagvar,1,1,1,trivy,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sgreben__flagvar,1,1,1,cdxgen,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sgreben__flagvar,1,1,1,cyclonedx-gomod,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
shaj13__go-guardian,94,19,7,syft,31,100.0,33.0,49.6,61.3,100.0,76.0,22.6,100.0,36.8
shaj13__go-guardian,94,19,7,trivy,94,100.0,100.0,100.0,20.2,100.0,33.6,7.4,100.0,13.9
shaj13__go-guardian,94,19,7,cdxgen,19,100.0,20.2,33.6,100.0,100.0,100.0,26.3,71.4,38.5
shaj13__go-guardian,94,19,7,cyclonedx-gomod,19,100.0,20.2,33.6,100.0,100.0,100.0,26.3,71.4,38.5
sherifabdlnaby__configuro,115,23,8,syft,115,100.0,100.0,100.0,20.0,100.0,33.3,7.0,100.0,13.0
sherifabdlnaby__configuro,115,23,8,trivy,115,100.0,100.0,100.0,20.0,100.0,33.3,7.0,100.0,13.0
sherifabdlnaby__configuro,115,23,8,cdxgen,23,100.0,20.0,33.3,100.0,100.0,100.0,34.8,100.0,51.6
sherifabdlnaby__configuro,115,23,8,cyclonedx-gomod,23,100.0,20.0,33.3,100.0,100.0,100.0,34.8,100.0,51.6
slack-io__slacker,12,5,4,syft,11,100.0,91.7,95.7,45.5,100.0,62.5,36.4,100.0,53.3
slack-io__slacker,12,5,4,trivy,5,100.0,41.7,58.8,100.0,100.0,100.0,80.0,100.0,88.9
slack-io__slacker,12,5,4,cdxgen,5,100.0,41.7,58.8,100.0,100.0,100.0,80.0,100.0,88.9
slack-io__slacker,12,5,4,cyclonedx-gomod,5,100.0,41.7,58.8,100.0,100.0,100.0,80.0,100.0,88.9
smallnest__langgraphgo,350,52,15,syft,219,94.1,58.9,72.4,23.7,100.0,38.4,6.8,100.0,12.8
smallnest__langgraphgo,350,52,15,trivy,157,99.4,44.6,61.5,33.1,100.0,49.8,9.6,100.0,17.4
smallnest__langgraphgo,350,52,15,cdxgen,146,100.0,41.7,58.9,35.6,100.0,52.5,8.9,86.7,16.1
smallnest__langgraphgo,350,52,15,cyclonedx-gomod,53,100.0,15.1,26.3,98.1,100.0,99.0,22.6,80.0,35.3
spf13__cobra,6,4,4,syft,6,100.0,100.0,100.0,66.7,100.0,80.0,66.7,100.0,80.0
spf13__cobra,6,4,4,trivy,6,100.0,100.0,100.0,66.7,100.0,80.0,66.7,100.0,80.0
spf13__cobra,6,4,4,cdxgen,4,100.0,66.7,80.0,100.0,100.0,100.0,75.0,75.0,75.0
spf13__cobra,6,4,4,cyclonedx-gomod,5,100.0,83.3,90.9,80.0,100.0,88.9,80.0,100.0,88.9
spf13__pflag,0,,,syft,0,0.0,0.0,0.0,,,,,,
spf13__pflag,0,,,trivy,0,0.0,0.0,0.0,,,,,,
spf13__pflag,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
spf13__pflag,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
spf13__viper,25,11,10,syft,104,22.1,92.0,35.7,10.6,100.0,19.1,9.6,100.0,17.5
spf13__viper,25,11,10,trivy,84,21.4,72.0,33.0,13.1,100.0,23.2,11.9,100.0,21.3
spf13__viper,25,11,10,cdxgen,75,16.0,48.0,24.0,14.7,100.0,25.6,12.0,90.0,21.2
spf13__viper,25,11,10,cyclonedx-gomod,11,100.0,44.0,61.1,100.0,100.0,100.0,81.8,90.0,85.7
steevin__neuron-cli,118,69,14,syft,101,100.0,85.6,92.2,68.3,100.0,81.2,13.9,100.0,24.3
steevin__neuron-cli,118,69,14,trivy,73,100.0,61.9,76.4,94.5,100.0,97.2,19.2,100.0,32.2
steevin__neuron-cli,118,69,14,cdxgen,69,100.0,58.5,73.8,100.0,100.0,100.0,20.3,100.0,33.7
steevin__neuron-cli,118,69,14,cyclonedx-gomod,73,100.0,61.9,76.4,94.5,100.0,97.2,19.2,100.0,32.2
subpop__go-ini,1,,1,syft,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
subpop__go-ini,1,,1,trivy,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
subpop__go-ini,1,,1,cdxgen,1,100.0,100.0,100.0,,,,100.0,100.0,100.0
subpop__go-ini,1,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
swithek__sessionup,3,3,2,syft,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
swithek__sessionup,3,3,2,trivy,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
swithek__sessionup,3,3,2,cdxgen,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
swithek__sessionup,3,3,2,cyclonedx-gomod,3,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,80.0
syntaqx__env,0,,,syft,0,0.0,0.0,0.0,,,,,,
syntaqx__env,0,,,trivy,0,0.0,0.0,0.0,,,,,,
syntaqx__env,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
syntaqx__env,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
tarent__loginsrv,65,34,11,syft,52,100.0,80.0,88.9,65.4,100.0,79.1,21.2,100.0,34.9
tarent__loginsrv,65,34,11,trivy,65,100.0,100.0,100.0,52.3,100.0,68.7,16.9,100.0,28.9
tarent__loginsrv,65,34,11,cdxgen,34,100.0,52.3,68.7,100.0,100.0,100.0,26.5,81.8,40.0
tarent__loginsrv,65,34,11,cyclonedx-gomod,34,100.0,52.3,68.7,100.0,100.0,100.0,26.5,81.8,40.0
taskctl__taskctl,39,24,13,syft,34,100.0,87.2,93.2,70.6,100.0,82.8,38.2,100.0,55.3
taskctl__taskctl,39,24,13,trivy,24,100.0,61.5,76.2,100.0,100.0,100.0,54.2,100.0,70.3
taskctl__taskctl,39,24,13,cdxgen,24,100.0,61.5,76.2,100.0,100.0,100.0,54.2,100.0,70.3
taskctl__taskctl,39,24,13,cyclonedx-gomod,24,100.0,61.5,76.2,100.0,100.0,100.0,54.2,100.0,70.3
tendermint__tendermint,692,65,43,syft,284,100.0,41.0,58.2,22.9,100.0,37.2,15.1,100.0,26.3
tendermint__tendermint,692,65,43,trivy,258,100.0,37.3,54.3,25.2,100.0,40.2,16.7,100.0,28.6
tendermint__tendermint,692,65,43,cdxgen,65,100.0,9.4,17.2,100.0,100.0,100.0,52.3,79.1,63.0
tendermint__tendermint,692,65,43,cyclonedx-gomod,242,100.0,35.0,51.8,26.4,98.5,41.7,15.7,88.4,26.7
the4thamigo-uk__conflate,11,7,6,syft,11,100.0,100.0,100.0,63.6,100.0,77.8,54.5,100.0,70.6
the4thamigo-uk__conflate,11,7,6,trivy,11,100.0,100.0,100.0,63.6,100.0,77.8,54.5,100.0,70.6
the4thamigo-uk__conflate,11,7,6,cdxgen,7,100.0,63.6,77.8,100.0,100.0,100.0,71.4,83.3,76.9
the4thamigo-uk__conflate,11,7,6,cyclonedx-gomod,7,100.0,63.6,77.8,100.0,100.0,100.0,71.4,83.3,76.9
theckman__yacspin,8,6,5,syft,7,100.0,87.5,93.3,85.7,100.0,92.3,71.4,100.0,83.3
theckman__yacspin,8,6,5,trivy,7,100.0,87.5,93.3,85.7,100.0,92.3,71.4,100.0,83.3
theckman__yacspin,8,6,5,cdxgen,6,100.0,75.0,85.7,100.0,100.0,100.0,66.7,80.0,72.7
theckman__yacspin,8,6,5,cyclonedx-gomod,6,100.0,75.0,85.7,100.0,100.0,100.0,66.7,80.0,72.7
tj__mmake,44,6,4,syft,11,100.0,25.0,40.0,54.5,100.0,70.6,36.4,100.0,53.3
tj__mmake,44,6,4,trivy,44,100.0,100.0,100.0,13.6,100.0,24.0,9.1,100.0,16.7
tj__mmake,44,6,4,cdxgen,6,100.0,13.6,24.0,100.0,100.0,100.0,50.0,75.0,60.0
tj__mmake,44,6,4,cyclonedx-gomod,6,100.0,13.6,24.0,100.0,100.0,100.0,50.0,75.0,60.0
tmc__langchaingo,883,246,65,syft,437,81.9,40.5,54.2,56.3,100.0,72.0,14.9,100.0,25.9
tmc__langchaingo,883,246,65,trivy,372,78.8,33.2,46.7,66.1,100.0,79.6,17.5,100.0,29.7
tmc__langchaingo,883,246,65,cdxgen,249,99.6,28.1,43.8,98.8,100.0,99.4,21.7,83.1,34.4
tmc__langchaingo,883,246,65,cyclonedx-gomod,244,100.0,27.6,43.3,98.0,97.2,97.6,21.7,81.5,34.3
tockins__realize,27,19,8,syft,23,100.0,85.2,92.0,82.6,100.0,90.5,34.8,100.0,51.6
tockins__realize,27,19,8,trivy,28,96.4,100.0,98.2,67.9,100.0,80.9,28.6,100.0,44.4
tockins__realize,27,19,8,cdxgen,19,100.0,70.4,82.6,100.0,100.0,100.0,42.1,100.0,59.3
tockins__realize,27,19,8,cyclonedx-gomod,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomlazar__table,12,6,3,syft,11,100.0,91.7,95.7,54.5,100.0,70.6,27.3,100.0,42.9
tomlazar__table,12,6,3,trivy,12,100.0,100.0,100.0,50.0,100.0,66.7,25.0,100.0,40.0
tomlazar__table,12,6,3,cdxgen,6,100.0,50.0,66.7,100.0,100.0,100.0,33.3,66.7,44.4
tomlazar__table,12,6,3,cyclonedx-gomod,6,100.0,50.0,66.7,100.0,100.0,100.0,33.3,66.7,44.4
tosone__minimp3,0,,,syft,0,0.0,0.0,0.0,,,,,,
tosone__minimp3,0,,,trivy,0,0.0,0.0,0.0,,,,,,
tosone__minimp3,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
tosone__minimp3,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
tucnak__climax,0,,,syft,0,0.0,0.0,0.0,,,,,,
tucnak__climax,0,,,trivy,0,0.0,0.0,0.0,,,,,,
tucnak__climax,0,,,cdxgen,0,0.0,0.0,0.0,,,,,,
tucnak__climax,0,,,cyclonedx-gomod,0,0.0,0.0,0.0,,,,,,
tucnak__telebot,186,20,3,syft,34,100.0,18.3,30.9,58.8,100.0,74.1,8.8,100.0,16.2
tucnak__telebot,186,20,3,trivy,186,100.0,100.0,100.0,10.8,100.0,19.4,1.6,100.0,3.2
tucnak__telebot,186,20,3,cdxgen,20,100.0,10.8,19.4,100.0,100.0,100.0,10.0,66.7,17.4
tucnak__telebot,186,20,3,cyclonedx-gomod,21,100.0,11.3,20.3,90.5,95.0,92.7,9.5,66.7,16.7
ufoscout__go-up,4,,1,syft,3,100.0,75.0,85.7,,,,33.3,100.0,50.0
ufoscout__go-up,4,,1,trivy,4,100.0,100.0,100.0,,,,25.0,100.0,40.0
ufoscout__go-up,4,,1,cdxgen,1,100.0,25.0,40.0,,,,100.0,100.0,100.0
ufoscout__go-up,4,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
urfave__cli,6,,1,syft,8,62.5,83.3,71.4,,,,12.5,100.0,22.2
urfave__cli,6,,1,trivy,7,57.1,66.7,61.5,,,,14.3,100.0,25.0
urfave__cli,6,,1,cdxgen,4,100.0,66.7,80.0,,,,25.0,100.0,40.0
urfave__cli,6,,1,cyclonedx-gomod,0,0.0,0.0,0.0,,,,0.0,0.0,0.0
vbauerster__mpb,12,5,4,syft,41,22.0,75.0,34.0,12.2,100.0,21.7,9.8,100.0,17.8
vbauerster__mpb,12,5,4,trivy,36,22.2,66.7,33.3,13.9,100.0,24.4,11.1,100.0,20.0
vbauerster__mpb,12,5,4,cdxgen,11,45.5,41.7,43.5,45.5,100.0,62.5,36.4,100.0,53.3
vbauerster__mpb,12,5,4,cyclonedx-gomod,8,100.0,66.7,80.0,62.5,100.0,76.9,50.0,100.0,66.7
vkuznet__x509proxy,0,,,syft,0,0.0,0.0,0.0,,,,,,
