name,url,clone,go_list,syft,trivy,cdxgen,cyclonedx_gomod,gt_lines
cinar__checker,https://github.com/cinar/checker,ok,ok,ok,ok,ok,ok,1
leebenson__conform,https://github.com/leebenson/conform,ok,ok,ok,ok,ok,ok,17
go-playground__form,https://github.com/go-playground/form,ok,ok,ok,ok,ok,ok,2
monoculum__formam,https://github.com/monoculum/formam,ok,ok,ok,ok,ok,ok,1
albrow__forms,https://github.com/albrow/forms,ok,fail,ok,ok,ok,fail,0
bdjimmy__gbind,https://github.com/bdjimmy/gbind,ok,ok,ok,ok,ok,ok,36
gorilla__csrf,https://github.com/gorilla/csrf,ok,ok,ok,ok,ok,ok,3
ggicci__httpin,https://github.com/ggicci/httpin,ok,ok,ok,ok,ok,ok,26
justinas__nosurf,https://github.com/justinas/nosurf,ok,ok,ok,ok,ok,ok,1
sonh__qs,https://github.com/sonh/qs,ok,ok,ok,ok,ok,ok,1
tomwright__queryparam,https://github.com/tomwright/queryparam,ok,ok,ok,ok,ok,ok,1
slipros__roamer,https://github.com/slipros/roamer,ok,ok,ok,ok,ok,ok,18
repeale__fp-go,https://github.com/repeale/fp-go,ok,ok,ok,ok,ok,ok,1
