repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
HDT3213__rdb,cdxgen,7,0,11,7,0,11,7,0,0,7,0,0,7,0,0,7,0,0
HDT3213__rdb,cyclonedx-gomod,8,0,10,8,0,10,7,1,0,7,1,0,7,1,0,7,1,0
Haraj-backend__hex-monscape,syft,28,0,25,28,0,25,16,12,0,16,12,0,20,8,0,20,8,0
Haraj-backend__hex-monscape,trivy,22,0,31,22,0,31,16,6,0,16,6,0,20,2,0,20,2,0
Haraj-backend__hex-monscape,cdxgen,16,0,37,16,0,37,16,0,0,16,0,0,16,0,4,16,0,4
Haraj-backend__hex-monscape,cyclonedx-gomod,16,0,37,16,0,37,16,0,0,16,0,0,16,0,4,16,0,4
Henry-Sarabia__igdb,syft,5,0,0,5,0,0,4,1,0,4,1,0,4,1,0,4,1,0
Henry-Sarabia__igdb,trivy,5,0,0,5,0,0,4,1,0,4,1,0,4,1,0,4,1,0
Henry-Sarabia__igdb,cdxgen,4,0,1,4,0,1,4,0,0,4,0,0,4,0,0,4,0,0
Henry-Sarabia__igdb,cyclonedx-gomod,4,0,1,4,0,1,4,0,0,4,0,0,4,0,0,4,0,0
Henry-Sarabia__sliceconv,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Henry-Sarabia__sliceconv,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Henry-Sarabia__sliceconv,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Henry-Sarabia__sliceconv,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Hossiy21__razify,syft,8,0,4,8,0,4,6,2,0,6,2,0,6,2,0,6,2,0
Hossiy21__razify,trivy,8,0,4,8,0,4,6,2,0,6,2,0,6,2,0,6,2,0
Hossiy21__razify,cdxgen,6,0,6,6,0,6,6,0,0,6,0,0,6,0,0,6,0,0
Hossiy21__razify,cyclonedx-gomod,7,0,5,7,0,5,6,1,0,6,1,0,6,1,0,6,1,0
HugoSmits86__nativewebp,syft,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
HugoSmits86__nativewebp,trivy,2,0,0,2,0,0,1,1,0,1,1,0,1,1,0,1,1,0
HugoSmits86__nativewebp,cdxgen,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
HugoSmits86__nativewebp,cyclonedx-gomod,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
Humpheh__goboy,syft,17,0,11,17,0,11,8,9,0,8,9,0,0,17,0,0,17,0
Humpheh__goboy,trivy,16,0,12,16,0,12,8,8,0,8,8,0,0,16,0,0,16,0
Humpheh__goboy,cdxgen,8,0,20,8,0,20,8,0,0,8,0,0,0,8,0,0,8,0
Humpheh__goboy,cyclonedx-gomod,12,0,16,12,0,16,8,4,0,8,4,0,0,12,0,0,12,0
ITcathyh__conexec,syft,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,0,0
ITcathyh__conexec,trivy,2,0,0,2,0,0,1,1,0,1,1,0,2,0,0,2,0,0
