repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_resid_gosum,fp_resid_sibling
Evertras__bubble-table,trivy,23,0,12,19,4,0,23,0,0,23,0,12,19,4,0,23,0,0,4,0,0,0,0,0
Evertras__bubble-table,cdxgen,19,0,16,19,0,0,19,0,4,19,0,16,19,0,0,19,0,4,0,0,0,0,0,0
Evertras__bubble-table,cyclonedx-gomod,19,0,16,19,0,0,19,0,4,19,0,16,19,0,0,19,0,4,0,0,0,0,0,0
FiloSottile__age,syft,9,0,8,6,3,0,9,0,0,9,0,8,6,3,0,9,0,0,3,0,0,0,0,0
FiloSottile__age,trivy,9,0,8,6,3,0,9,0,0,9,0,8,6,3,0,9,0,0,3,0,0,0,0,0
FiloSottile__age,cdxgen,6,0,11,6,0,0,6,0,3,6,0,11,6,0,0,6,0,3,0,0,0,0,0,0
FiloSottile__age,cyclonedx-gomod,6,0,11,6,0,0,6,0,3,6,0,11,6,0,0,6,0,3,0,0,0,0,0,0
Forceu__gokapi,syft,56,0,58,21,35,0,25,31,0,56,0,58,21,35,0,25,31,0,4,2,5,17,7,0
Forceu__gokapi,trivy,49,0,65,21,28,0,25,24,0,49,0,65,21,28,0,25,24,0,4,2,5,17,0,0
Forceu__gokapi,cdxgen,49,0,65,21,28,0,25,24,0,49,0,65,21,28,0,25,24,0,4,2,5,17,0,0
Forceu__gokapi,cyclonedx-gomod,30,0,84,21,9,0,21,9,4,30,0,84,21,9,0,21,9,4,0,2,1,6,0,0
FreeLeh__GoFreeDB,syft,28,0,65,4,24,0,10,18,0,28,0,65,4,24,0,10,18,0,6,0,1,12,5,0
